a,a
ah,ah
ai,ai
ainn,ainn
ak,ak
am,am
an,an
ang,ang
ann,ann
ap,ap
at,at
au,au
ba,ba
bah,bah
bai,bai
bak,bak
ban,ban
bang,bang
bat,bat
bau,bau
be,be
beh,beh
bi,bi
bian,bian
biat,biat
biau,biau
bih,bih
bik,bek
bin,bin
bing,beng
bio,bio
bit,bit
biu,biu
bo,bo
bok,bok
bong,bong
boo,bou
bu,bu
bua,boa
buah,boah
buan,boan
buat,boat
bue,boe
bueh,boeh
bui,bui
bun,bun
but,but
e,e
eh,eh
enn,enn
ga,ga
gai,gai
gak,gak
gam,gam
gan,gan
gang,gang
gau,gau
ge,ge
gi,gi
gia,gia
giah,giah
giam,giam
gian,gian
giang,geang
giap,giap
giat,giat
giau,giau
gik,gek
gim,gim
gin,gin
ging,geng
gio,gio
gioh,gioh
giok,geok
giong,geong
giu,giu
go,go
gok,gok
gong,gong
goo,gou
gu,gu
gua,goa
guan,goan
guat,goat
gue,goe
gueh,goeh
gui,gui
ha,ha
hah,hah
hai,hai
hainn,hainn
hak,hak
ham,ham
han,han
hang,hang
hann,hann
hannh,hannh
hap,hap
hat,hat
hau,hau
he,he
heh,heh
henn,henn
hennh,hennh
hi,hi
hia,hia
hiah,hiah
hiam,hiam
hian,hian
hiang,heang
hiann,hiann
hiannh,hiannh
hiap,hiap
hiat,hiat
hiau,hiau
hiauh,hiauh
hik,hek
him,him
hin,hin
hing,heng
hinn,hinn
hio,hio
hioh,hioh
hiok,heok
hiong,heong
hip,hip
hit,hit
hiu,hiu
hiunn,hiunn
hiunnh,hiunnh
hm,hm
hmh,hmh
hng,hng
hngh,hngh
ho,ho
hoh,hoh
hok,hok
hong,hong
honn,honn
honnh,honnh
hoo,hou
hu,hu
hua,hoa
huah,hoah
huai,hoai
huainn,hoainn
huan,hoan
huann,hoann
huat,hoat
hue,hoe
hueh,hoeh
hui,hui
hun,hun
hut,hut
i,i
ia,ia
iah,iah
iam,iam
ian,ian
iang,eang
iann,iann
iap,iap
iat,iat
iau,iau
iaunn,iaunn
ik,ek
im,im
in,in
ing,eng
inn,inn
io,io
ioh,ioh
iok,eok
iong,eong
ip,ip
it,it
iu,iu
iunn,iunn
ji,ji
jia,jia
jiam,jiam
jian,jian
jiang,jeang
jiap,jiap
jiat,jiat
jiau,jiau
jim,jim
jin,jin
jiok,jeok
jiong,jeong
jip,jip
jit,jit
jiu,jiu
ju,ju
juah,joah
jue,joe
jun,jun
ka,ka
kah,kah
kai,kai
kainn,kainn
kak,kak
kam,kam
kan,kan
kang,kang
kann,kann
kap,kap
kat,kat
kau,kau
kauh,kauh
ke,ke
keh,keh
kenn,kenn
kha,kha
khah,khah
khai,khai
khainn,khainn
khak,khak
kham,kham
khan,khan
khang,khang
khann,khann
khap,khap
khat,khat
khau,khau
khe,khe
kheh,kheh
khenn,khenn
khennh,khennh
khi,khi
khia,khia
khiah,khiah
khiak,kheak
khiam,khiam
khian,khian
khiang,kheang
khiap,khiap
khiat,khiat
khiau,khiau
khiauh,khiauh
khih,khih
khik,khek
khim,khim
khin,khin
khing,kheng
khinn,khinn
khio,khio
khiok,kheok
khiong,kheong
khip,khip
khit,khit
khiu,khiu
khiunn,khiunn
khng,khng
kho,kho
khok,khok
khong,khong
khoo,khou
khu,khu
khua,khoa
khuah,khoah
khuai,khoai
khuann,khoann
khuat,khoat
khue,khoe
khueh,khoeh
khuh,khuh
khui,khui
khun,khun
khut,khut
ki,ki
kia,kia
kiah,kiah
kiam,kiam
kian,kian
kiann,kiann
kiap,kiap
kiat,kiat
kiau,kiau
kik,kek
kim,kim
kin,kin
king,keng
kinn,kinn
kio,kio
kioh,kioh
kiok,keok
kiong,keong
kip,kip
kit,kit
kiu,kiu
kiunn,kiunn
kng,kng
ko,ko
koh,koh
kok,kok
kong,kong
konn,konn
koo,kou
ku,ku
kua,koa
kuah,koah
kuai,koai
kuainn,koainn
kuan,koan
kuann,koann
kuat,koat
kue,koe
kueh,koeh
kui,kui
kun,kun
kut,kut
la,la
lah,lah
lai,lai
lak,lak
lam,lam
lan,lan
lang,lang
lap,lap
lat,lat
lau,lau
lauh,lauh
le,le
leh,leh
li,li
liah,liah
liam,liam
lian,lian
liang,leang
liap,liap
liat,liat
liau,liau
